,Popularity,Score
0,404,8.99
1,533,8.96
2,939,8.93
3,735,8.99
4,19,8.96
5,2505,8.7
6,17,8.7
7,127,8.95
8,700,9.03
9,763,8.71
10,102,8.73
11,376,8.74
12,724,8.72
13,422,8.95
14,647,8.72
15,827,8.74
16,244,8.54
17,896,8.54
18,105,8.94
19,731,8.71
20,857,8.55
21,175,8.55
22,2917,8.71
23,416,8.54
24,39,8.54
25,504,8.43
26,47,8.91
27,2452,8.34
28,710,8.43
29,41,8.35
30,1825,8.35
31,1073,8.54
32,55,8.35
33,387,8.35
34,2325,8.35
35,90,8.36
36,165,8.36
37,182,8.36
38,138,8.43
39,575,8.37
40,2262,8.37
41,589,8.53
42,2120,8.34
43,584,8.28
44,1731,8.36
45,3039,8.29
46,662,8.28
47,2072,8.29
48,68,8.29
49,719,8.3
50,132,8.37
51,1475,8.3
52,2193,8.3
53,2774,8.37
54,458,8.3
55,1869,8.29
56,633,8.3
57,446,8.3
58,217,8.31
59,60,8.3
60,578,8.36
61,3280,8.31
62,973,8.3
63,205,8.31
64,1543,8.31
65,237,8.31
66,624,8.31
67,3832,8.32
68,8425,8.32
69,130,8.23
70,622,8.31
71,1489,8.23
72,1836,8.23
73,402,8.3
74,2026,8.31
75,386,8.32
76,1238,8.13
77,4061,8.13
78,605,8.13
79,938,8.23
80,7347,8.13
81,185,8.32
82,852,8.31
83,1021,8.18
84,713,8.1
85,758,8.1
86,2244,8.1
87,5163,8.1
88,6740,8.18
89,895,8.1
90,3415,8.1
91,48,8.05
92,116,8.1
93,87,8.1
94,3215,8.01
95,1694,8.02
96,1851,8.1
97,53,8.18
98,98,8.02
99,6378,8.05
100,801,8.02
101,2407,8.05
102,3768,7.97
103,594,8.02
104,4178,7.98
105,1575,8.02
106,506,7.98
107,650,7.97
108,7324,8.1
109,854,7.98
110,2973,7.94
111,1456,7.94
112,560,7.94
113,8295,7.94
114,596,7.98
115,793,7.97
116,1093,7.98
117,1526,7.97
118,6,7.94
119,1814,7.91
120,2339,7.91
121,819,7.91
122,4345,7.91
123,306,7.91
124,1441,7.91
125,3746,7.91
126,359,7.91
127,1848,7.91
128,3822,7.91
129,189,7.92
130,836,7.94
131,2039,7.92
132,65,7.92
133,1148,7.92
134,813,7.91
135,4225,7.92
136,1780,7.92
137,617,7.92
138,1065,7.88
139,8310,7.88
140,1113,7.91
141,905,7.91
142,2465,7.88
143,1291,7.88
144,528,7.85
145,798,7.82
146,2872,7.88
147,1039,7.88
148,3264,7.85
149,2267,7.79
150,498,7.79
151,983,7.85
152,871,7.79
153,5211,7.77
154,1496,7.77
155,1744,7.88
156,91,7.82
157,2265,7.77
158,3482,7.74
159,4095,7.77
160,833,7.74
161,1500,7.75
162,3574,7.75
163,2401,7.75
164,5748,7.75
165,516,7.74
166,2390,7.72
167,4764,7.72
168,1568,7.85
169,2442,7.72
170,3225,7.72
171,3871,7.82
172,3365,7.7
173,534,7.7
174,723,7.72
175,300,7.68
176,3613,7.72
177,4127,7.68
178,3542,7.68
179,1139,7.74
180,2678,7.72
181,2181,7.7
182,316,7.66
183,11442,7.66
184,802,7.72
185,241,7.66
186,882,7.64
187,5629,7.64
188,1949,7.72
189,3657,7.64
190,5048,7.64
191,146,7.66
192,5322,7.62
193,4624,7.62
194,2491,7.64
